
--- Tabela: ordemservico ---
Campo: id | Tipo: INTEGER | Nullable: False
Campo: id_empresa | Tipo: INTEGER | Nullable: False
Campo: id_contato | Tipo: INTEGER | Nullable: False
Campo: id_vendedor | Tipo: INTEGER | Nullable: False
Campo: id_banco | Tipo: INTEGER | Nullable: True
Campo: id_planopag | Tipo: INTEGER | Nullable: False
Campo: id_contrato | Tipo: INTEGER | Nullable: True
Campo: id_borracheiro | Tipo: INTEGER | Nullable: True
Campo: numos | Tipo: INTEGER | Nullable: False
Campo: dataentrada | Tipo: TIMESTAMP | Nullable: True
Campo: dataprevisao | Tipo: TIMESTAMP | Nullable: True
Campo: placa | Tipo: VARCHAR(9) | Nullable: True
Campo: descricaoveiculo | Tipo: VARCHAR(80) | Nullable: True
Campo: serienotaent | Tipo: INTEGER | Nullable: True
Campo: numnotaent | Tipo: INTEGER | Nullable: True
Campo: chavenotaent | Tipo: VARCHAR(44) | Nullable: True
Campo: emissaopropria | Tipo: BOOLEAN | Nullable: True
Campo: statuslib | Tipo: CHAR(1) | Nullable: True
Campo: datalib | Tipo: TIMESTAMP | Nullable: True
Campo: usuariolib | Tipo: CHAR(20) | Nullable: True
Campo: senhalib | Tipo: CHAR(15) | Nullable: True
Campo: motivolib | Tipo: TEXT | Nullable: True
Campo: obs_fatura | Tipo: TEXT | Nullable: True
Campo: vrservico | Tipo: NUMERIC | Nullable: False
Campo: vrtotal | Tipo: NUMERIC | Nullable: False
Campo: vrproduto | Tipo: NUMERIC | Nullable: False
Campo: vrcarcaca | Tipo: NUMERIC | Nullable: False
Campo: vrbonus | Tipo: NUMERIC | Nullable: False
Campo: vrmontagem | Tipo: NUMERIC | Nullable: False
Campo: pcomissao | Tipo: NUMERIC | Nullable: False
Campo: vrcomissao | Tipo: NUMERIC | Nullable: False
Campo: numosmobile | Tipo: INTEGER | Nullable: True
Campo: status | Tipo: CHAR(1) | Nullable: True
Campo: userlan | Tipo: CHAR(20) | Nullable: True
Campo: datalan | Tipo: TIMESTAMP | Nullable: True

--- Tabela: pneu ---
Campo: id | Tipo: INTEGER | Nullable: False
Campo: id_ordem | Tipo: INTEGER | Nullable: False
Campo: id_empresa | Tipo: INTEGER | Nullable: False
Campo: id_medida | Tipo: INTEGER | Nullable: False
Campo: id_desenho | Tipo: INTEGER | Nullable: False
Campo: id_marca | Tipo: INTEGER | Nullable: False
Campo: id_recap | Tipo: INTEGER | Nullable: False
Campo: id_servico | Tipo: INTEGER | Nullable: False
Campo: id_bonus | Tipo: INTEGER | Nullable: True
Campo: codservico | Tipo: VARCHAR(30) | Nullable: True
Campo: numserie | Tipo: CHAR(30) | Nullable: True
Campo: numfogo | Tipo: VARCHAR(10) | Nullable: True
Campo: dot | Tipo: VARCHAR(5) | Nullable: True
Campo: placa | Tipo: VARCHAR(9) | Nullable: True
Campo: desenhoriginal | Tipo: VARCHAR(12) | Nullable: True
Campo: qreforma | Tipo: INTEGER | Nullable: False
Campo: montagem | Tipo: BOOLEAN | Nullable: True
Campo: quant | Tipo: INTEGER | Nullable: False
Campo: valor | Tipo: NUMERIC | Nullable: False
Campo: vrtotal | Tipo: NUMERIC | Nullable: False
Campo: vrtabela | Tipo: NUMERIC | Nullable: False
Campo: pdescto | Tipo: NUMERIC | Nullable: False
Campo: vrdescto | Tipo: NUMERIC | Nullable: False
Campo: valornfe | Tipo: NUMERIC | Nullable: False
Campo: vrservico | Tipo: NUMERIC | Nullable: False
Campo: vrcarcaca | Tipo: NUMERIC | Nullable: False
Campo: vrcustomp | Tipo: NUMERIC | Nullable: False
Campo: vrcustosrv | Tipo: NUMERIC | Nullable: False
Campo: vrcustodesp | Tipo: NUMERIC | Nullable: False
Campo: obs | Tipo: VARCHAR(80) | Nullable: True
Campo: serienf | Tipo: CHAR(3) | Nullable: True
Campo: numnota | Tipo: INTEGER | Nullable: True
Campo: statuspro | Tipo: BOOLEAN | Nullable: True
Campo: statusfat | Tipo: BOOLEAN | Nullable: True
Campo: userlan | Tipo: CHAR(20) | Nullable: True
Campo: datalan | Tipo: TIMESTAMP | Nullable: True
Campo: codbarra | Tipo: VARCHAR(15) | Nullable: True
Campo: id_contato | Tipo: INTEGER | Nullable: False
Campo: id_vendedor | Tipo: INTEGER | Nullable: False
Campo: id_contrato | Tipo: INTEGER | Nullable: True
Campo: id_carcaca | Tipo: INTEGER | Nullable: True
Campo: id_acabado | Tipo: INTEGER | Nullable: True
Campo: id_laudo | Tipo: INTEGER | Nullable: True
Campo: id_exped | Tipo: INTEGER | Nullable: True
Campo: id_nota | Tipo: INTEGER | Nullable: True
